"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_05 - Check format of single user","78","test_check_format_single_user[45465-404]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","69","test_update_user_data[Brady-sagvdfs-1]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","78","test_get_user_invalid_id_returns_404[0]","steps","Wed Apr 01 13:05:12 UTC 2026","passed","Wed Apr 01 13:05:12 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","48","test_update_user_data[Auston-NoRingTill67-2]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_02 - Get existing user","53","test_get_existing_user","steps","Wed Apr 01 13:05:10 UTC 2026","passed","Wed Apr 01 13:05:10 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","49","test_check_nested_fields[name-company]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_04 - Get all users","60","test_get_all_users","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","83","test_get_user_invalid_id_returns_404[-2]","steps","Wed Apr 01 13:05:12 UTC 2026","passed","Wed Apr 01 13:05:12 UTC 2026","","test_users","",""
"../features/user.feature: TC_13 - Schema Validation","50","test_validate_schema","steps","Wed Apr 01 13:05:12 UTC 2026","passed","Wed Apr 01 13:05:12 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","67","test_check_format_single_user[13-404]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","55","test_check_format_single_user[2-200]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_07 - Delete user","56","test_delete_user","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","71","test_update_user_data[Nathan-MissingEmptyNet-3]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_14 - Performance Baseline","1","test_performance_baseline","steps","Wed Apr 01 13:05:12 UTC 2026","broken","Wed Apr 01 13:05:12 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","75","test_get_user_invalid_id_returns_404[404]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:12 UTC 2026","","test_users","",""
"../features/user.feature: TC_03 - Get not existing user","74","test_get_not_existing_user","steps","Wed Apr 01 13:05:10 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","73","test_get_user_invalid_id_returns_404[9999999]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_08 - Checking Content-Type response","50","test_check_content_type_response","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_01 - Create user with complete data","66","TC_01 - Create user with complete data","steps","Wed Apr 01 13:05:10 UTC 2026","passed","Wed Apr 01 13:05:10 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","43","test_check_nested_fields[city-address]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/headers.feature: TC_11 - Response contains Content-Type","46","test_check_response_contains_content_type","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","49","test_check_format_single_user[1-200]","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_09 - Creating user with minimal payload","59","test_create_user_min_payload","steps","Wed Apr 01 13:05:11 UTC 2026","passed","Wed Apr 01 13:05:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","72","test_get_user_invalid_id_returns_404[Eisenhower]","steps","Wed Apr 01 13:05:12 UTC 2026","passed","Wed Apr 01 13:05:12 UTC 2026","","test_users","",""
